"Channel","Programmes","Source","Tried"
"TALKING PICTURES","49","sky.com (TalkingPictures)","sky.com=49, freeview.co.uk=48, virgintvgo.virginmedia.com=54, player.ee.co.uk=52"
"TG4 HD","91","sky.com (TG4 HD)","sky.com=91, freeview.co.uk=91, tvireland.ie=92, entertainment.ie=0"
"TLC HD","78","sky.com (TLC HD)","sky.com=78, freeview.co.uk=78, virgintvgo.virginmedia.com=0, player.ee.co.uk=78"
"TNT SPORT 1","35","virgintvgo.virginmedia.com (TNT Sports 1 HD)","virgintvgo.virginmedia.com=35, player.ee.co.uk=32, tvireland.ie=29, entertainment.ie=0"
"TNT SPORT 10","12","player.ee.co.uk (TNT Sports 10 HD)","sky.com=9, player.ee.co.uk=12"
"TNT SPORT 2","42","virgintvgo.virginmedia.com (TNT Sports 2 HD)","virgintvgo.virginmedia.com=42, player.ee.co.uk=39, tvireland.ie=35, entertainment.ie=0"
"TNT SPORT 3","45","virgintvgo.virginmedia.com (TNT Sports 3 HD)","virgintvgo.virginmedia.com=45, player.ee.co.uk=43, tvireland.ie=40, entertainment.ie=0"
"TNT SPORT 4","27","virgintvgo.virginmedia.com (TNT Sports 4 HD)","virgintvgo.virginmedia.com=27, player.ee.co.uk=23, tvireland.ie=20, entertainment.ie=0"
"TNT SPORT 5","13","player.ee.co.uk (TNT Sports 5 HD)","player.ee.co.uk=13, sky.com=11"
"TNT SPORT 6","9","player.ee.co.uk (TNT Sports 6 HD)","sky.com=6, player.ee.co.uk=9"
"TNT SPORT 7","10","sky.com (TNT Sports 7)","sky.com=10, player.ee.co.uk=12"
"TNT SPORT 8","9","sky.com (TNT Sports 8)","sky.com=9, player.ee.co.uk=11"
"TNT SPORT 9","11","player.ee.co.uk (TNT Sports 9 HD)","sky.com=7, player.ee.co.uk=11"
"TRAVEL XP CHANNEL","96","sky.com (Travelxp)","sky.com=96, tvireland.ie=96"
"TRUE CRIME","71","sky.com (TRUE CRIME)","sky.com=71, freeview.co.uk=71, virgintvgo.virginmedia.com=73, player.ee.co.uk=71"
"TRUE CRIME XTRA","80","freeview.co.uk (TRUE CRIME XTRA)","freeview.co.uk=80, virgintvgo.virginmedia.com=82, player.ee.co.uk=80, tvireland.ie=80"
"UTV","43","sky.com (UTV HD)","sky.com=43, freeview.co.uk=42, entertainment.ie=0"
"VIRGIN MEDIA ONE HD","39","tvireland.ie (Virgin Media One HD)","tvireland.ie=39, entertainment.ie=0, sky.com=40, virginmediatelevision.ie=41"
"VIRGIN MEDIA THREE HD","46","tvireland.ie (Virgin Media Three HD)","tvireland.ie=46, entertainment.ie=0, sky.com=47, virginmediatelevision.ie=47"
"VIRGIN MEDIA TWO HD","46","tvireland.ie (Virgin Media Two HD)","tvireland.ie=46, entertainment.ie=0, sky.com=47, virginmediatelevision.ie=48"
"W","46","sky.com (U&W)","sky.com=46, freeview.co.uk=46, virgintvgo.virginmedia.com=46, player.ee.co.uk=46"
"YESTERDAY","47","sky.com (U&Yesterday)","sky.com=47, freeview.co.uk=47, virgintvgo.virginmedia.com=49, player.ee.co.uk=47"
"ZEE TV","61","sky.com (Zee TV HD)","sky.com=61, virgintvgo.virginmedia.com=66, player.ee.co.uk=66, tvireland.ie=69"
